10,100,12,15,40,algorithm,algorithms,assignments,attendance,chong,code,coding,content,cs2040,data,data structures,day,did,expected,final,finals,grade,java,just,kattis,lab,labs,lecture,lectures,like,lot,marks,midterm,midterms,module,prof,prof chong,questions,quite,quiz,quizzes,really,structures,tha,thas,time,tutorial,visualgo,week,weeks
0.0,0.1811553550814087,0.0,0.15537684949139674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5289315603248851,0.0,0.0,0.25919668780276944,0.12959834390138472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33468455933760616,0.0,0.5536772978280188,0.0,0.15919051521221628,0.0,0.15537684949139674,0.0,0.17631052010829504,0.0,0.0,0.24326662366510038,0.0,0.0,0.14482259208772905,0.0,0.0
0.0,0.0,0.0,0.4876792694078959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5533835054372135,0.0,0.0,0.40676861371037176,0.0,0.0,0.5389572534069329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3006272341108666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385434542488947,0.0,0.0,0.0,0.20449236621857303,0.0,0.0,0.0,0.5677672978036777,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6024148528017348,0.0,0.0,0.7981831526184101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.039706271781721404,0.0,0.042902943697734244,0.03780899870050974,0.03780899870050974,0.10235534262235739,0.1628825415175751,0.09065641179207587,0.07747401240910634,0.13224561974226298,0.045328205896037935,0.052922993358367934,0.08356899861022919,0.0,0.27196923537622764,0.13598461768811382,0.08816374649484199,0.0,0.07941254356344281,0.19853135890860701,0.0,0.09460837246079536,0.34322354958187395,0.041784499305114596,0.048057373852025874,0.2524457365732434,0.0,0.13224561974226298,0.09065641179207587,0.08816374649484199,0.0,0.0,0.07747401240910634,0.0,0.25741766218640544,0.10104779590366399,0.13995035643436998,0.23242203722731902,0.17632749298968398,0.15123599480203895,0.03873700620455317,0.08580588739546849,0.13598461768811382,0.09611474770405175,0.35517520743167524,0.31765017425377123,0.07048150627294814,0.17620376568237034,0.09330023762291333,0.14417212155607761
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2844766717410451,0.07895644707261203,0.0,0.30474405763211476,0.135441803392051,0.0,0.036468013440018,0.0,0.06938308549127244,0.0,0.0,0.0,0.0,0.0,0.08118879317217687,0.08118879317217687,0.11843467060891805,0.03842241440508192,0.0,0.035559583967630634,0.11297071263887788,0.05648535631943894,0.15368965762032769,0.14968309487768383,0.04303854640771423,0.06459479979309371,0.03742077371942096,0.0,0.08118879317217687,0.2368693412178361,0.13749893545246591,0.03742077371942096,0.03469154274563622,0.145872053760072,0.0,0.1508249378055208,0.0,0.624447769421452,0.15791289414522405,0.0677209016960255,0.03469154274563622,0.07684482881016384,0.08118879317217687,0.08607709281542845,0.0,0.32003625570867567,0.1262416705479634,0.09468125291097253,0.0,0.0
