10,15,20,25,40,abstraction,ashish,content,course,coursemology,data,did,don,exam,experience,final,final exam,finals,functions,higher,just,kay,lecture,lecturer,lectures,leong,leong wai,level,like,midterms,missions,mod,module,participation,practical,practical exam,prof,programming,python,quite,really,recitation,sem,semester,students,time,tutorial,tutorials,wai kay,week
0.0,0.2006820867676856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1715007926431523,0.0,0.0,0.11715328828046534,0.18994469557177876,0.41017345381394127,0.10971266476422299,0.0,0.2127649634163515,0.0,0.0,0.23430657656093068,0.0,0.0,0.0,0.0,0.0,0.0,0.23430657656093068,0.11715328828046534,0.0,0.2065346070064046,0.11715328828046534,0.31933026001084336,0.09497234778588938,0.18499299386182544,0.19516418391256715,0.0,0.18994469557177876,0.0,0.4531589844166225,0.12595367803235752,0.0,0.0,0.1003410433838428,0.0,0.0,0.1032673035032023,0.11715328828046534,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6199865860831636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5629864310373287,0.0,0.546500605255653,0.0,0.0,0.0
0.18258688076080465,0.0,0.469352366692508,0.0,0.13790693660869105,0.3499892823726286,0.18258688076080465,0.0,0.0,0.11451421765189236,0.15645078889750266,0.0,0.0,0.0,0.0,0.0,0.0,0.142067059596939,0.16820315146024098,0.16205950169837507,0.0,0.0,0.0,0.16205950169837507,0.0,0.0,0.0,0.15645078889750266,0.0,0.0,0.0,0.0,0.0,0.12682954915425929,0.12352320730812738,0.0,0.0,0.25365909830851857,0.13399910174624075,0.0,0.0,0.0,0.0,0.13399910174624075,0.0,0.14651430793233688,0.13790693660869105,0.0,0.0,0.4861785050951252
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4327265057886298,0.0,0.0,0.4620736647696977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4620736647696977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3957631435166346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4786388639406505
0.0,0.1563176557462852,0.0,0.09125441977375293,0.08043818488666445,0.0,0.3194971398905986,0.0,0.0,0.06679370913568783,0.0,0.0,0.0,0.36988490118196365,0.3194971398905986,0.42729340814246886,0.3781034509451376,0.0,0.0,0.0,0.09125441977375293,0.0,0.0,0.1890517254725688,0.0,0.0,0.0,0.09125441977375293,0.09125441977375293,0.08545868162849377,0.0,0.0,0.12436824446501751,0.07397698023639272,0.288193845257781,0.07600979291730632,0.24131455465999332,0.07397698023639272,0.0,0.0,0.0,0.0,0.07204846131444526,0.0,0.16572939240306747,0.08545868162849377,0.0,0.09125441977375293,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23160930849637268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20415704164788576,0.0,0.3156542244295277,0.0,0.0,0.0,0.0,0.7510324334834617,0.3967437877851097,0.0,0.0,0.0,0.0,0.19837189389255486,0.2103156760361036,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6177742251066619,0.0,0.0,0.0,0.4209741075705725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641805534258162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.21943750240404158,0.0,0.1281022406770465,0.11291849474824049,0.1432859866058525,0.0,0.0,0.0,0.18752897283499173,0.3843067220311395,0.0,0.1281022406770465,0.20769661240077728,0.0,0.11996622880358462,0.13269466671828878,0.0,0.1377251002876946,0.13269466671828878,0.0,0.1281022406770465,0.0,0.13269466671828878,0.0,0.24775523648867043,0.1281022406770465,0.0,0.0,0.11996622880358462,0.11291849474824049,0.0,0.17458716875894084,0.10384830620038864,0.10114106642282981,0.10670195274098772,0.22583698949648098,0.41539322480155455,0.3291562536060624,0.0,0.0,0.0,0.10114106642282981,0.0,0.0,0.11996622880358462,0.0,0.1281022406770465,0.1281022406770465,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.19736857275146102,0.0,0.0,0.1237849488612106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071367742392998,0.1818203794143139,0.0,0.0,0.16911658045679703,0.0,0.17517935800066242,0.0,0.32707873151774314,0.16911658045679703,0.0,0.0,0.31675134296374907,0.0,0.16911658045679703,0.4609690637118769,0.0,0.0,0.0,0.14907147292055867,0.13709729305294643,0.28969454269039335,0.16353936575887157,0.0,0.0,0.13352327958341154,0.28969454269039335,0.0,0.0,0.0,0.0,0.16911658045679703,0.0
0.0,0.13570675972542323,0.0,0.0792222833626642,0.06983219763019734,0.0,0.0,0.1483814572172542,0.0,0.3479206923967194,0.0,0.2036939032252002,0.1584445667253284,0.1284458397770094,0.0,0.0741907286086271,0.08206237792493333,0.07193876701550374,0.0,0.0,0.0,0.0792222833626642,0.2461871337748,0.0,0.2658371072853931,0.3064385985124497,0.0792222833626642,0.0792222833626642,0.0,0.1483814572172542,0.06983219763019734,0.0,0.16195494413452957,0.0642229198885047,0.06254868128303688,0.06598770084519513,0.34916098815098673,0.0,0.0,0.15321929925622485,0.0,0.17722473819026208,0.06254868128303688,0.0,0.0,0.0741907286086271,0.0,0.23766685008799257,0.0792222833626642,0.4103118896246667
0.0,0.19657984703261502,0.11475850117206415,0.11475850117206415,0.10115636653524647,0.0,0.2678592663859275,0.0,0.0,0.16799506187510785,0.0,0.0,0.0,0.2790929160761252,0.13392963319296375,0.10746997504494935,0.11887255824437694,0.20841573174741945,0.0,0.0,0.34427550351619246,0.0,0.11887255824437694,0.11887255824437694,0.0,0.0,0.0,0.0,0.0,0.10746997504494935,0.10115636653524647,0.11475850117206415,0.15640133774990425,0.18606194405075013,0.18121146247378409,0.19117473830232912,0.20231273307049294,0.0,0.0,0.0,0.12337899789460932,0.3850819074266455,0.09060573123689204,0.09828992351630751,0.0,0.32240992513484806,0.10115636653524647,0.11475850117206415,0.0,0.0
0.0,0.09859088986390467,0.0,0.0,0.0,0.0,0.0,0.1077990509533284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1192365491643455,0.0,0.0,0.0,0.0,0.6437683973675387,0.0,0.0,0.11510989474037586,0.0,0.0,0.101466110007244,0.11510989474037586,0.15688024278612692,0.0,0.0,0.0,0.202932220014488,0.0,0.0,0.11131374066081368,0.6187839382603746,0.0,0.0,0.19718177972780934,0.0,0.0,0.0,0.11510989474037586,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5668721581607769,0.0,0.0,0.0,0.0,0.0,0.0,0.3994612043087383,0.0,0.0,0.0,0.5167224856385916,0.0,0.0,0.0,0.0,0.0,0.0,0.502080247958263,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309886626861037,0.0,0.26552842701063745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26552842701063745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7965852810319124,0.18094084869941202,0.0,0.0,0.0,0.0,0.0,0.22742340232511038,0.0,0.0,0.0,0.20964370436843155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2053558911411809,0.0,0.0,0.479323778084472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2127178368590301,0.2127178368590301,0.45939276802611756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19858355757527865,0.0,0.45939276802611756,0.1621354452229434,0.0,0.1864759380948213,0.1923133560553027,0.18101539826930302,0.0,0.0,0.2127178368590301
0.20090005350289455,0.0,0.34428510667482237,0.0,0.1517387822589594,0.19254632441586295,0.0,0.16120945918949456,0.0,0.12599981092423534,0.34428510667482237,0.0,0.0,0.27910070104344986,0.0,0.16120945918949456,0.17831381108102623,0.0,0.3701473182181873,0.17831381108102623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13955035052172493,0.1359123878651585,0.1433850531719278,0.0,0.13955035052172493,0.14743899779648625,0.0,0.0,0.0,0.1359123878651585,0.14743899779648625,0.0,0.16120945918949456,0.1517387822589594,0.0,0.0,0.35662762216205246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.880705787599828,0.0,0.0,0.0,0.251546213109538,0.0,0.0,0.23557004465403744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154477253958071,0.2432505910411838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.29998325105538753,0.0,0.0,0.0,0.0,0.0,0.7001946935093132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15536877930268672,0.14999162552769377,0.0,0.0,0.0,0.0,0.0,0.0,0.14999162552769377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5921173931145346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1320924825973456,0.29082495864524743,0.11318432640764331,0.0,0.09976877609241265,0.0,0.0,0.0,0.0,0.24853593926303147,0.0,0.29101606582515255,0.22636865281528662,0.09175483991336439,0.1320924825973456,0.0,0.0,0.10277841715281201,0.0,0.0,0.11318432640764331,0.0,0.0,0.0,0.0,0.0,0.0,0.22636865281528662,0.33955297922292993,0.0,0.1995375521848253,0.33955297922292993,0.0,0.09175483991336439,0.08936286683758135,0.09427617021794102,0.0,0.09175483991336439,0.0,0.0,0.0,0.0,0.1787257336751627,0.0,0.0,0.4239831162057704,0.09976877609241265,0.22636865281528662,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09642536645810695,0.0,0.0,0.2634751380472332,0.0,0.15374516150757045,0.0,0.0,0.2392518337749686,0.0,0.0,0.2634751380472332,0.0,0.0,0.0,0.0,0.0,0.0,0.1317375690236166,0.1317375690236166,0.12337067067669957,0.23224586732157992,0.2634751380472332,0.0,0.0,0.0,0.0,0.0,0.10679534826052967,0.0,0.2547861176774631,0.2832670187428763,0.0,0.2080225630493153,0.0,0.0,0.6168533533834979,0.0,0.1317375690236166,0.0,0.0
0.18264783556673297,0.26808767201516476,0.0,0.15650301843028644,0.13795297546165863,0.3501061227978285,0.0,0.0,0.0,0.11455244707935133,0.4695090552908593,0.0,0.0,0.25374377986419727,0.0,0.14656322027022517,0.16211360364389113,0.0,0.16825930440184922,0.16211360364389113,0.0,0.15650301843028644,0.0,0.0,0.0,0.15134178035237913,0.15650301843028644,0.0,0.0,0.14656322027022517,0.0,0.0,0.2132938404946096,0.12687188993209864,0.12356444429677486,0.13035820129383988,0.13795297546165863,0.25374377986419727,0.13404383600758238,0.0,0.0,0.0,0.12356444429677486,0.0,0.0,0.0,0.0,0.0,0.15650301843028644,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7595001983513223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505070704491244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.27595036130508876,0.0,0.1610930639090766,0.14199897046964305,0.18018715734851012,0.0,0.15086174341249886,0.0,0.11791213270762017,0.0,0.0,0.0,0.13059289001637367,0.0,0.0,0.0,0.14628253441417835,0.0,0.0,0.0,0.1610930639090766,0.16686820084539802,0.16686820084539802,0.18018715734851012,0.15578045292001352,0.1610930639090766,0.0,0.0,0.15086174341249886,0.0,0.0,0.3293242388182703,0.13059289001637367,0.12718844097474483,0.13418145070125334,0.14199897046964305,0.0,0.13797518065254438,0.0,0.0,0.36037431469702025,0.0,0.13797518065254438,0.0,0.0,0.4259969114089292,0.0,0.1610930639090766,0.16686820084539802
0.0,0.0,0.1577045865681881,0.0,0.0,0.0,0.0,0.14768847457797776,0.18405013324683459,0.11543193535957597,0.0,0.0,0.0,0.0,0.36810026649366917,0.0,0.0,0.0,0.33910226528652615,0.0,0.1577045865681881,0.0,0.0,0.0,0.17639704941351458,0.0,0.0,0.0,0.0,0.0,0.0,0.47311375970456426,0.0,0.0,0.0,0.0,0.0,0.38353788603340344,0.27014594289127025,0.30500744510045424,0.0,0.0,0.12451312311929014,0.0,0.1432055859646166,0.0,0.0,0.0,0.0,0.16335824763103368
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2118732003125378,0.0,0.0,0.0,0.0,0.22624226809605114,0.18340722385911376,0.0,0.0,0.0,0.2054420691097033,0.0,0.0,0.0,0.22624226809605114,0.0,0.0,0.2530583885555489,0.21878113270939026,0.22624226809605114,0.0,0.22624226809605114,0.0,0.19942614763655336,0.45248453619210227,0.1541698132356255,0.0,0.17862594865020553,0.18844706908178413,0.19942614763655336,0.0,0.0,0.0,0.2432372681239703,0.0,0.17862594865020553,0.0,0.0,0.2118732003125378,0.0,0.0,0.22624226809605114,0.0
0.0,0.23019667752452894,0.0,0.13438318365931487,0.11845496798562352,0.0,0.0,0.12584825739988917,0.0,0.1967236503025732,0.0,0.0,0.13438318365931487,0.10894006171225504,0.0,0.0,0.0,0.12202829973750953,0.0,0.0,0.13438318365931487,0.13438318365931487,0.13920077958020075,0.0,0.0,0.12995142501664167,0.13438318365931487,0.0,0.13438318365931487,0.12584825739988917,0.0,0.0,0.3662946009358354,0.21788012342451007,0.10610008406381818,0.11193362455032338,0.0,0.0,0.0,0.12995142501664167,0.14447785884650102,0.0,0.10610008406381818,0.11509833876226447,0.0,0.25169651479977834,0.11845496798562352,0.13438318365931487,0.13438318365931487,0.556803118320803
0.0,0.11072139880726355,0.0,0.0,0.0,0.0,0.0,0.12106252137620464,0.0,0.0,0.2585457658370813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12927288291854064,0.0,0.0,0.6463644145927032,0.3523652124548367,0.0,0.0,0.0,0.227900765416396,0.4191892306576044,0.2214427976145271,0.0,0.0,0.0,0.0,0.11072139880726355,0.0,0.2421250427524093,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8594499825141048,0.0,0.0,0.0,0.0,0.5112198426865932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
